"","name","iata_code","icao_code"
"1","Airlink","4Z","LNK"
"2","Air Corsica","XK","CCM"
"3","Emirates","EK","UAE"
"4","Envoy Air","MQ","ENY"
"5","Air Niugini","PX","ANG"
"6","TAROM","RO","ROT"
"7","Surinam Airways","PY","SLM"
"8","AirExplore","ED","AXE"
"9","Air Arabia","G9","ABY"
"10","Azerbaijan Airlines","J2","AHY"
"11","Croatia Airlines","OU","CTN"
"12","Etihad","EY","ETD"
"13","Evelop Airlines","E9","EVE"
"14","Flydubai","FZ","FDB"
"15","FlyOne","5F","FIA"
"16","GoJet Airlines","G7","GJS"
"17","Icelandair","FI","ICE"
"18","Kuwait Airways","KU","KAC"
"19","Air Malta","KM","AMC"
"20","MEA","ME","MEA"
"21","Mesa Airlines","YV","ASH"
"22","MIAT - Mongolian Airlines","OM","MGL"
"23","NordStar","Y7","TYA"
"24","Nouvelair Tunisie","BJ","LBT"
"25","Royal Air Maroc","AT","RAM"
"26","Saudi Arabian Airlines","SV","SVA"
"27","Singapore Airlines","SQ","SIA"
"28","Airkenya Express","P2","XAK"
"29","Albatros Airlines","G0","GAL"
"30","Air Algerie","AH","DAH"
"31","Aurora Airlines","HZ","SHU"
"32","Azores Airlines","S4","RZO"
"33","Bulgaria Air","FB","LZB"
"34","Camair-Co","QC","CRC"
"35","Cebu Pacific","5J","CEB"
"36","Delta Air Lines","DL","DAL"
"37","Ethiopian Airlines","ET","ETH"
"38","Flynas","XY","KNE"
"39","Georgian Airways","A9","TGZ"
"40","Hawaiian Airlines","HA","HAL"
"41","LAM - Linhas Aereas De Mocambique","TM","LAM"
"42","LATAM Airlines Brasil","JJ","TAM"
"43","Malindo Air","OD","MXD"
"44","Mango","JE","MNO"
"45","Air Namibia","SW","NMB"
"46","Olympic Air","OA","OAL"
"47","Pakistan International Airlines","PK","PIA"
"48","Qantas Airways","QF","QFA"
"49","Republic Airline","YX","RPA"
"50","RwandAir","WB","RWD"
"51","SATA - Air Acores","SP","SAT"
"52","Scat Air","DV","VSV"
"53","Air Seychelles","HM","SEY"
"54","Solomon Airlines","IE","SOL"
"55","SpiceJet","SG","SEJ"
"56","TAG Airlines","5U","TGU"
"57","Thai AirAsia X","XJ","TAX"
"58","Turkish Airlines","TK","THY"
"59","Ural Airlines","U6","SVR"
"60","Vistara","UK","VTI"
"61","Lufthansa","LH","DLH"
"62","Aerolineas Argentinas","AR","ARG"
"63","Aeromar","VW","TAO"
"64","AirAsia Philippines","Z2","APG"
"65","AirAsia X","D7","XAX"
"66","Alaska Airlines","AS","ASA"
"67","Alitalia","AZ","AZA"
"68","Air Arabia Egypt","E5","RBG"
"69","Air Arabia Maroc","3O","MAC"
"70","Air Asia","AK","AXM"
"71","Belavia","B2","BRU"
"72","Bhutan Airlines","B3","BTN"
"73","Biman Bangladesh Airlines","BG","BBC"
"74","Air Canada","AC","ACA"
"75","Canadian North","5T","MPE"
"76","Air Dolomiti","EN","DLA"
"77","EL AL Israel Airlines","LY","ELY"
"78","Air France","AF","AFR"
"79","Go Air","G8*","GOW"
"80","Hahn Air Lines","HR","HHN"
"81","Indonesia AirAsia","QZ","AWQ"
"82","Jazz Aviation","QK","JZA"
"83","Kam Air","RQ*","KMF"
"84","Kenya Airways","KQ","KQA"
"85","Korean Air","KE","KAL"
"86","Lao Airlines","QV","LAO"
"87","LATAM Airlines Ecuador","XL","LNE"
"88","LATAM Airlines Peru","LP","LPE"
"89","Luxair","LG","LGL"
"90","Mahan Air","W5","IRM"
"91","Malaysia Airlines","MH","MAS"
"92","Air Mauritius","MK","MAU"
"93","Neos","NO*","NOS"
"94","Nile Air","NP","NIA"
"95","Norwegian","DY","NAX"
"96","Novoair","VQ","NVQ"
"97","Paranair","ZP","AZP"
"98","Pegasus","PC","PGT"
"99","Rex. Regional Express","ZL","RXA"
"100","Royal Jordanian","RJ","RJA"
"101","Air Serbia","JU","ASL"
"102","Silver Airways","3M","SIL"
"103","SunExpress","XQ*","SXS"
"104","Swiss","LX","SWR"
"105","TAP Portugal","TP","TAP"
"106","Thai AirAsia","FD","AIQ"
"107","Ukraine International Airlines","PS","AUI"
"108","Uzbekistan Airways","HY","UZB"
"109","Air Vanuatu","NF","AVN"
"110","Vueling Airlines","VY","VLG"
"111","Wings Air","IW","WON"
"112","Air Wisconsin","ZW","AWI"
"113","Yakutia Air","R3","SYL"
"114","Yemenia - Yemen Airways","IY","IYE"
"115","ABX Air","GB","ABX"
"116","AirAsia India","I5","IAD"
"117","Aruba Airlines","AG","ARU"
"118","ASL Airlines France","5O","FPO"
"119","Austrian","OS","AUA"
"120","Avion Express","X9","NVD"
"121","Bassaka Air","5B*","BSX"
"122","Binter Canarias","NT","IBB"
"123","Air Botswana","BP","BOT"
"124","Buraq Air Transport","UZ","BRQ"
"125","Cambodia Angkor Air","K6","KHV"
"126","Canaryfly","PM","CNF"
"127","Cargolux Airlines International","CV","CLX"
"128","Condor","DE","CFG"
"129","Copa Airlines","CM","CMP"
"130","CorsAir","SS","CRL"
"131","Cubana","CU","CUB"
"132","Edelweiss Air","WK","EDW"
"133","Ellinair","EL","ELB"
"134","FlyFirefly","FY","FFM"
"135","GOL Linhas Aereas Inteligentes","G3","GLO"
"136","HiFly","5K","HFY"
"137","Horizon Air","QX","QXE"
"138","Air India Express","IX*","AXB"
"139","Iran Airtour Airline","B9","IRB"
"140","Iran Aseman Airline","EP","IRC"
"141","Israir Airlines","6H","ISR"
"142","Jazeera Airways","J9*","JZR"
"143","LATAM Airlines Colombia","4C","ARE"
"144","Lion Airlines","JT*","LNI"
"145","LOT - Polish Airlines","LO","LOT"
"146","Air New Zealand","NZ","ANZ"
"147","Northwestern Air Lease","J3","PLR"
"148","Air Nostrum","YW","ANE"
"149","Nova Airlines","O9","NOV"
"150","Pelita Air Service","6D","PAS"
"151","Sevenair","VZ*","RVP"
"152","Star Peru","2I","SRU"
"153","TUI Fly Belgium","TB*","JAF"
"154","Vietjet Air","VJ","VJC"
"155","Virgin Australia","VA","VOZ"
"156","Viva Aerobus","VB","VIV"
"157","Volotea","V7","VOE"
"158","Wamos Air","EB","PLM"
"159","American Airlines","AA","AAL"
"160","Aeroflot","SU","AFL"
"161","Airnorth Regional","TL*","ANO"
"162","Alliance Airlines","QQ","UTY"
"163","Amelia International","NL","AEH"
"164","ASL Airlines Belgium","3V","TAY"
"165","Atlas Air","5Y","GTI"
"166","Aurigny Air Services","GR","AUR"
"167","Avia Traffic Company","YK","AVJ"
"168","Azul","AD","AZU"
"169","Bamboo Airways","QH","BAV"
"170","Batik Air","ID","BTK"
"171","Ceiba Intercontinental","C2","CEL"
"172","Air Century","Y2","CEY"
"173","Chair","GM*","GSW"
"174","Air Chathams","3C","CVA"
"175","Cityjet","WX","BCY"
"176","Cyprus Airways","CY","CYP"
"177","Dana Airlines","9J","DAN"
"178","Danish Air Transport","DX*","DTR"
"179","Druk Air Corporation","KB","DRK"
"180","Egyptair","MS","MSR"
"181","Empire Airlines","EM","CFS"
"182","Endeavor Air","9E","EDV"
"183","Frontier Airlines","F9","FFT"
"184","Helvetic","2L","OAW"
"185","Izhavia","I8","IZA"
"186","Jambojet","JM","JMA"
"187","Japan Airlines","JL","JAL"
"188","Jet2.com","LS","EXS"
"189","Jetstar Asia Airways","3K*","JSA"
"190","LASER Airlines","QL*","LER"
"191","Air Madagascar","MD","MDG"
"192","Myanmar Airways International","8M","MMA"
"193","Nauru Airlines","ON","RON"
"194","Nesma Airlines","NE","NMA"
"195","Nok Air","DD","NOK"
"196","Nolinor Aviation","N5","NRL"
"197","Nordavia","5N","AUL"
"198","Air North","4N","ANT"
"199","Pacific Coastal Airlines","8P","PCO"
"200","Passaredo Transportes Aereos","2Z","PTB"
"201","Air Peace","P4","APK"
"202","Piedmont Airlines","PT","PDT"
"203","Plus Ultra","PU","PUE"
"204","Precision Air Services","PW","PRF"
"205","Premium Jet","0J","PJZ"
"206","Qazaq Air","IQ","QAZ"
"207","Qeshm Air","QB","QSM"
"208","SATENA","9R*","NSE"
"209","Sky Angkor Airlines","ZA","SWM"
"210","Thai Smile","WE*","THD"
"211","Air Transport International","8C","ATN"
"212","Winair","WM","WIA"
"213","WINDROSE Airlines","7W","WRC"
"214","TAAG - Linhas Aereas De Angola Airlines","DT","DTA"
"215","Xiamen Airlines","MF","CXA"
"216","United Airlines","UA","UAL"
"217","Lufthansa CityLine","CL","CLH"
"218","Iran Air","IR","IRA"
"219","All Nippon Airways","NH","ANA"
"220","Air Europa","UX","AEA"
"221","Flyegypt","FT","FEG"
"222","Aer Lingus","EI","EIN"
"223","Aerovias DAP","V5","DAP"
"224","Africa World Airlines Limited","AW*","AFW"
"225","AirBaltic","BT","BTI"
"226","Airblue","PA","ABQ"
"227","AirBridge Cargo","RU","ABW"
"228","Alitalia Cityliner","CT","CYL"
"229","Allegiant Air","G4","AAY"
"230","Angara Airlines","2G","AGU"
"231","Animawings","A2","AWG"
"232","Asiana Airlines","OZ","AAR"
"233","Aviacon Zitotrans","ZR*","AZS"
"234","Avianca","AV","AVA"
"235","Avior Airlines","9V","ROI"
"236","Azman Air","ZQ","AZM"
"237","Aztec Airways","AJ","AZY"
"238","Bahamasair","UP","BHS"
"239","Bismillah Airlines","BH","BML"
"240","Blue Air","0B*","BLA"
"241","Blue Islands","SI","BCI"
"242","Boliviana De Aviacion","OB","BOV"
"243","British Airways","BA","BAW"
"244","Bul Air","LB","BVL"
"245","Cabo Verde Airlines","VR","TCV"
"246","Calm Air International","MO","CAV"
"247","Caribbean Airlines","BW","BWA"
"248","Central Mountain Air","9M","GLR"
"249","Cham Wings Airlines","6Q","SAW"
"250","Air China","CA","CCA"
"251","China Eastern Airlines","MU","CES"
"252","China West Air","PN","CHB"
"253","Air Choice One","3E","ACO"
"254","Conviasa","V0","VCV"
"255","Corendon Airlines","XC","CAI"
"256","Eagle Air","H7","EGU"
"257","Eastern Airways","T3*","EZE"
"258","Estafeta Carga Aerea","E7*","ESF"
"259","EVA Airways","BR","EVA"
"260","Five Fourty Aviation","5H*","FFV"
"261","Fly Baghdad","IF","FBA"
"262","Helijet International","JB","JBA"
"263","Ibom Airlines","QI","IAN"
"264","Air Iceland Connect","NY","FXI"
"265","Air India","AI","AIC"
"266","Jetstar Airways","JQ","JST"
"267","Jetstar Japan","GK","JJP"
"268","Jordan Aviation","R5","JAV"
"269","Kenmore Air","M5*","KEN"
"270","Lanmei Airlines","LQ","MKR"
"271","LATAM Airlines Chile","LU","LXP"
"272","Air Leap","FL","LPA"
"273","Loganair","LM","LOG"
"274","Lufthansa Cargo","LH","GEC"
"275","Maya Island Air","2M","MYD"
"276","Air Mediterranean","MV","MAR"
"277","National Airways","9Y","NAE"
"278","Nepal Airlines","RA","RNA"
"279","Onur Air","8Q","OHY"
"280","Philippine Airlines","PR","PAL"
"281","PNG Air","CG*","TOK"
"282","Polar Air Cargo","PO","PAC"
"283","Qatar Airways","QR","QTR"
"284","Rossiya Airlines","FV","SDM"
"285","RusLine / Air Volga","7R","RLU"
"286","Samoa Airways","OL","PAO"
"287","Air Senegal","HC","SZN"
"288","SkyUp Airlines","PQ","SQP"
"289","Skyward Express","OW","SEW"
"290","SkyWest Airlines","OO","SKW"
"291","South African Airways","SA","SAA"
"292","Air Sunshine","YI","RSI"
"293","Thai Airways International","TG","THA"
"294","Thai Lion","SL","TLM"
"295","Transavia","HV","TRA"
"296","Ultimate Air Shuttle","UE","UJC"
"297","Utair Aviation","UT","UTA"
"298","Vietnam Airlines","VN","HVN"
"299","Virgin Atlantic Airways","VS","VIR"
"300","Voluxis",NA,"VXS"
"301","Westjet","WS","WJA"
"302","Yanair","YE","ANR"
"303","SriLankan Airlines","UL","ALK"
"304","PAL Express","2P","GAP"
"305","SilkAir","MI","SLK"
"306","Garuda","GA","GIA"
"307","Aegean Airlines","A3","AEE"
"308","Aero","N2","NIG"
"309","Aeromexico","AM","AMX"
"310","Aeromexico Connect","5D","SLI"
"311","Afriqiyah Airways","8U","AAW"
"312","Alba Star.es","AP","LAV"
"313","Amerijet International","M6","AJT"
"314","Antonov Design Bureau / Antonov Airlines",NA,"ADB"
"315","Ariana Afghan Airlines","FG","AFG"
"316","Arik Air","W3","ARA"
"317","Arkia Israeli Airlines","IZ","AIZ"
"318","Air Astana","KC","KZR"
"319","Atlantic Airways","RC","FLI"
"320","Avianca Costa Rica","LR","LRC"
"321","Avianca Ecuador","2K","GLG"
"322","Badr Airlines","J4","BDR"
"323","Bangkok Airways","PG","BKP"
"324","Bearskin Airlines","JV","BLS"
