"name","iata_code","country_code"
"Chicago O'Hare International Airport","ORD","US"
"Hartsfield-Jackson Atlanta International Airport","ATL","US"
"Dallas/Fort Worth International Airport","DFW","US"
"Los Angeles International Airport","LAX","US"
"Charlotte Douglas International Airport","CLT","US"
"Soekarno-Hatta International Airport","CGK","ID"
"George Bush Intercontinental Airport","IAH","US"
"Seattle-Tacoma International Airport","SEA","US"
"Tokyo International Airport","HND","JP"
"Frankfurt Airport","FRA","DE"
"Newark Liberty International Airport","EWR","US"
"Amsterdam Airport Schiphol","AMS","NL"
"Indira Gandhi International Airport","DEL","IN"
"London Heathrow Airport","LHR","GB"
"Paris Charles de Gaulle Airport","CDG","FR"
"Guangzhou Baiyun International Airport","CAN","CN"
"San Francisco International Airport","SFO","US"
"Shanghai Pudong International Airport","PVG","CN"
"Miami International Airport","MIA","US"
"John F. Kennedy International Airport","JFK","US"
"Detroit Metropolitan Wayne County Airport","DTW","US"
"Beijing Capital International Airport","PEK","CN"
"Benito Juarez International Airport","MEX","MX"
"Logan International Airport","BOS","US"
"Phoenix Sky Harbor International Airport","PHX","US"
"Minneapolis-St Paul International Airport","MSP","US"
"Munich International Airport","MUC","DE"
"Toronto Pearson International Airport","YYZ","CA"
"Philadelphia International Airport","PHL","US"
"La Guardia Airport","LGA","US"
"Adolfo Suarez Madrid-Barajas Airport","MAD","ES"
"Shenzhen Bao'an International Airport","SZX","CN"
"Dubai International Airport","DXB","AE"
"Chengdu Shuangliu International Airport","CTU","CN"
"Orlando International Airport","MCO","US"
"El Dorado International Airport","BOG","CO"
"McCarran International Airport","LAS","US"
"Salt Lake City International Airport","SLC","US"
"Washington Dulles International Airport","IAD","US"
"Barcelona-El Prat Airport","BCN","ES"
"Incheon International Airport","ICN","KR"
"Sheremetyevo International Airport","SVO","RU"
"Ronald Reagan Washington National Airport","DCA","US"
"Hong Kong International Airport","HKG","HK"
"Ninoy Aquino International Airport","MNL","PH"
"Sao Paulo-Guarulhos International Airport","GRU","BR"
"Sydney International Airport","SYD","AU"
"Shanghai Hongqiao International Airport","SHA","CN"
"Chhatrapati Shivaji International Airport","BOM","IN"
"Suvarnabhumi Airport","BKK","TH"
"Doha International Airport","DIA","QA"
"Kuala Lumpur International Airport","KUL","MY"
"Kunming Changshui International Airport","KMG","CN"
"Xi'an Xianyang International Airport","XIY","CN"
"Singapore Changi Airport","SIN","SG"
"Vienna International Airport","VIE","AT"
"Vancouver International Airport","YVR","CA"
"Oslo Airport, Gardermoen","OSL","NO"
"Fort Lauderdale-Hollywood International Airport","FLL","US"
"Leonardo da Vinci-Fiumicino Airport","FCO","IT"
"Zurich Airport","ZRH","CH"
"Copenhagen Airport","CPH","DK"
"Hangzhou Xiaoshan International Airport","HGH","CN"
"Melbourne Airport","MEL","AU"
"Chongqing Jiangbei International Airport","CKG","CN"
"Sabiha Goekcen International Airport","SAW","TR"
"Tan Son Nhat International Airport","SGN","VN"
"London Gatwick Airport","LGW","GB"
"Paris Orly Airport","ORY","FR"
"O.R. Tambo International Airport","JNB","ZA"
"Lisbon Humberto Delgado Airport","LIS","PT"
"Taiwan Taoyuan International Airport","TPE","TW"
"Eleftherios Venizelos International Airport","ATH","GR"
"Portland International Airport","PDX","US"
"Narita International Airport","NRT","JP"
"Calgary International Airport","YYC","CA"
"Berlin Brandenburg Airport","BER","DE"
"Montreal-Pierre Elliott Trudeau International Airport","YUL","CA"
"Stockholm Arlanda Airport","ARN","SE"
"Brussels Airport","BRU","BE"
"Don Mueang International Airport","DMK","TH"
"Brisbane Airport","BNE","AU"
"Nanjing Lukou International Airport","NKG","CN"
"Palma de Mallorca Airport","PMI","ES"
"Dublin Airport","DUB","IE"
"Domodedovo International Airport","DME","RU"
"Daniel K. Inouye International Airport","HNL","US"
"Noi Bai International Airport","HAN","VN"
"Cancun International Airport","CUN","MX"
"San Diego International Airport","SAN","US"
"Juanda International Airport","SUB","ID"
"Baltimore-Washington International Airport","BWI","US"
"Milano Malpensa Airport","MXP","IT"
"Duesseldorf International Airport","DUS","DE"
"Nashville International Airport","BNA","US"
"Fukuoka Airport","FUK","JP"
"King Khalid International","RUH","SA"
